nombre git	nombre	name	tipo	estado	autor	tags	notas de forma	notas de contenido
insp-solecolombia-in-thailand	¡SOLE Colombia llega a Tailandia!	SOLE Colombia arrives in Thailand!	Inspiración	Publicado		Historias potentes		
insp-how-internet-works	¿Cómo funciona el Internet?	How does the Internet work?	Inspiración	Publicado	Sanjay	Sobre el internet	Agregué “-” entre palabras	
insp-internetimprove-caceres	¿Cómo mejoró el Internet en Cáceres, Antioquia?	How did the Internet improved in Cáceres-Antioquia?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-chalan	¿Cómo mejoró el Internet en Chalán, Montes de María?	How did the internet improve in Chalán-Montes de María?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-coloso	¿Cómo mejoró el Internet en Colosó, Montes de María?	How did the internet improved in Colosó-Montes de María?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-dominguillo	¿Cómo mejoró el Internet en Dominguillo, Cauca?	How did the Internet improve in Dominguillo-Cauca?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-tambo	¿Cómo mejoró el Internet en El Tambo, Cauca?	How did the Internet improve in Tambo-Cauca?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-nuevomexico	¿Cómo mejoró el internet en Nuevo México, Santander de Quilichao?	How did the internet improved in New Mexico-Santander de Quilichao?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-piendamo	¿Cómo mejoró el Internet en Piendamó, Cauca?	How did the Internet improve in Piendamó-Cauca?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-nepomuceno	¿Cómo mejoró el internet en San Juan Nepomuceno, Montes de María?	How did the internet improve in San Juan Nepomuceno-Montes de María?	Inspiración	Publicado		Historias potentes		
insp-internetimprove-valdivia	¿Cómo mejoró el Internet en Valdivia, Antioquia?	How did the Internet improve in Valdivia-Antioquia?	Inspiración	Publicado				
insp-slow-internet	¿Te ha pasado que tu internet es lento?		Inspiración	Por hacer		Te ha pasado		
insp-internet-usage-measure	¿Cómo se mide el uso de Internet?	How is Internet usage measured?	Inspiración	Publicado	Manuela	Sobre el internet	Cambiar nombre a: ¿Cuánto pesan los datos que viajan por internet?	
insp-internet-signal-transmission	¿Cómo se transmite la señal de Internet?	How is the Internet signal transmitted?	Inspiración	Ampliar	Belén	Sobre el internet	Cambiar nombre a: ¿Cómo viaja un mensaje desde tu celular hasta el de tus amigos?	Este parece más del conceptorio.
insp-free-internet-for-all	¿Crees que el acceso a internet debería ser libre y gratuito para todos?		Inspiración	Por hacer		Preguntas incómodas		
insp-privileged-finance-internet	¿Crees que los más privilegiados deberían subsidiar el internet de todos?		Inspiración	Por hacer		Preguntas incómodas		
insp-convince-sharing-internet	¿Crees que podrías convencer a tus vecinos de quitar su contraseña?		Inspiración	Por hacer		Preguntas incómodas		
insp-internet-in-group	¿Cuándo fue la última vez que usaste el Internet en grupo?	When was the last time you used the Internet in a group?	Inspiración	Publicado	Sanjay	Preguntas incómodas		
insp-who-pays-web-content	¿Quién paga por las canciones que escuchas en YouTube?		Inspiración	Por hacer		Sobre el internet		Sobre la publicidad y cómo funciona esto.
insp-data-usage	¿Cuántas GB de internet crees que consumes al mes?		Inspiración	Por hacer		Preguntas incómodas		
insp-data-for-dollar	¿Cuántos Gb al mes te da tu compañía telefónica por $1US?		Inspiración	Por hacer		Preguntas incómodas		
insp-tinkerer-since-kid	¿Desde pequeño se te facilitaba desarmar y armar juguetes?		Inspiración	Por hacer		Vamos a romper		
insp-internet-ate-homework	¿El internet o tu perro han dañado tu tarea?		Inspiración	Por hacer		Preguntas incómodas		Sobre responsabilidad en el mundo digital
insp-save-money-fixing	¿Eres de los que les gusta ahorrar dinero solucionando las cosas tú mismo?		Inspiración	Por hacer		Vamos a romper		
insp-sharing-your-internet	¿Estarías dispuesto a quitarle la clave a tu WiFi?		Inspiración	Por hacer		Preguntas incómodas		
insp-searching-for-solutions	¿Has buscado información en internet para arreglar un problema de tu casa?		Inspiración	Por hacer		Vamos a romper, Te ha pasado		
insp-solved-on-my-own	¿Has solucionado algún problema tecnológico por tu cuenta?		Inspiración	Por hacer		Vamos a romper, Te ha pasado		
insp-what-is-internet	¿Qué es el Internet?: Una cobija de solidaridad	What is the Internet? A blanket of solidarity	Inspiración	Publicado	Sanjay	Sobre el internet	Cambiar nombre a: ¿Qué es el internet?	
insp-sole-unal	SOLE en la U: ¿Qué significa el agua para ti y tu comunidad?	What does water mean to you and your community?	Inspiración	Por hacer		Historias potentes, De Voltaje a SOLE		
insp-what-is-tinkering	¿Qué es cacharrear?		Inspiración	Prioritario		Vamos a romper, De Voltaje a SOLE, Sobre el internet		
insp-who-are-tinkerers	¿Quién es un cacharrero?		Inspiración	Prioritario		Vamos a romper, De Voltaje a SOLE, Sobre el internet		
insp-speed-access-info	¿Qué tan rápido se puede acceder a la información en Internet?	How quickly can information be accessed on the Internet?	Inspiración	Publicado	Sanjay	Sobre el internet, Te ha pasado, Preguntas incómodas		
insp-movies-are-bytes	Las películas que ves están hechas de ceros y unos (0 y 1).		Inspiración	Prioritario		Curiosidades, Sobre el internet		
insp-sth-broke-at-home	¿Qué haces cuando se daña algo en casa?		Inspiración	Por hacer		Te ha pasado, Vamos a romper		
insp-frequency-replacing-phone	¿Cada cuánto cambias tu celular?		Inspiración	Por hacer		Preguntas incómodas, Sobre el internet, Vamos a romper		
insp-how-internet-travels	¿Te has preguntado cómo llega el Internet la luz o la señal móvil a ti?		Inspiración	Publicado		Curiosidades, Preguntas incómodas, Sobre el internet		Sobre obsolescencia programada y responsabilidad de consumo
insp-are-you-tinkerer	¿Tus papás, abuelos/as o amigos te llaman para que les ayudes a resolver algo con el computador?		Inspiración	Por hacer		Vamos a romper, Te ha pasado		
insp-internet-in-a-box	Amplificamos nuestro Internet y el de muchas comunidades a través de una caja	We amplify our Internet and that of many communities through a box	Inspiración	Publicado	Manuela	Historias potentes, De Voltaje a SOLE, Curiosidades	Cambiar nombre a: Nos conectamos a internet con una caja.	
insp-others-build-antenna3g	Animamos a otros a construir su antena 3G casera	We encourage others to build their homemade 3G antenna	Inspiración	Publicado	Manuela	Te ha pasado, Vamos a romper, Curiosidades	Cambiar nombre a: La fantástica historia de cómo Nico construyó su manera de tener internet.	
insp-fish-game	Aprendimos a jugar para reflexionar sobre el uso de bienes comunes	We learned to play to reflect on the use of common goods	Inspiración	Publicado	Manuela	Metodologías, De Voltaje a SOLE	Cambia nombre a: Recursos para uno, recursos para todos.	
insp-solelab-boca-camarones	El SOLE Lab, La Biblioteca del Futuro - Descubre cómo se vive en Boca de Camarones	The SOLE Lab: The Library of the Future - Discover what life is like in Boca de Camarones	Inspiración	Modificar		De Voltaje a SOLE, Historias potentes	Cambiar nombre a: Construimos un SOLE Lab en la Guajira para usar el internet en grupo	Enmarcar mejor en la BFF
insp-voltaje-tests	Galería de fotos- Pruebas Voltaje	Photo Gallery - Voltaje Tests	Inspiración	Ampliar	Manuela	De Voltaje a SOLE, Historias potentes	Cambiar nombre a: Estamos construyendo una plataforma con mucho Voltaje, ¿te nos unes?	Ponerle una narrativa al asunto
insp-solelab-tambo	Inauguramos nuestro segundo SOLE Lab en El Tambo, Cauca	We inaugurated our second SOLE Lab in El Tambo-Cauca	Inspiración	Modificar		De Voltaje a SOLE, Historias potentes	Cambiar nombre a: ¡El segundo SOLE Lab ya está en el Cauca! ¿Te gustaría ser parte de la Biblioteca del Futuro?	Ajustes BBF
insp-tinkerer-inspiration	Inspiración Cacharrera	Cacharrera’s Inspiration	Inspiración	Modificar	Mateo	Historias potentes, Sobre el internet	Cambiar nombre a: En grupo, solucionamos mejor	
insp-tinkerer-corner	La esquina del cacharreo	Cacharreo corner	Inspiración	Modificar	Nicolás	Vamos a romper	ajuste: cacharreocorner > tinkerer-corner
insp-granny-cloud	La Nube de Abuelitas: cómo cambiar el mundo desde tu casa	La Nube de Abuelitas: how to change the world from your home	Inspiración	Ampliar	Belén	De Voltaje a SOLE	
insp-granny-no-connection	La Nube de Abuelitas: ¿qué pasa cuando no hay conexión?	La Nube de Abuelitas: what happens when there is no Internet connection	Inspiración	Publicado	Belén	De Voltaje a SOLE		
insp-build-memory-solelab	Metodología: ¿Cómo construir memoria en Ambientes de Aprendizaje Auto-Organizado SOLE LAB?		Inspiración	Modificar		Metodologías	
insp-imagine-collective-futures	Metodología: ¿Cómo imaginar futuros en comunidad?		Inspiración	Modificar		Metodologías	
insp-life-and-technology	Metodología: ¿Cómo la tecnología nos puede ayudar a tejer historias?		Inspiración	Modificar		Metodologías, Historias potentes	
insp-build-dyi-antenna3g	Nos animamos a construir nuestra propia antena 3G		Inspiración	Eliminar			
insp-granny-questions	Preguntas y respuestas sobre la experiencia de ser una Abuelita	Questions and answers of the Abuelita experience	Inspiración	Publicado		De Voltaje a SOLE	
insp-voltaje-test01	Prueba # 01 SOLE Voltaje		Inspiración	Modificar	Nicolás	Metodologías	
insp-voltaje-test02	Prueba # 02 SOLE Voltaje		Inspiración	Modificar	Nicolás	Metodologías	
insp-voltaje-test03	Prueba # 03 SOLE Voltaje		Inspiración	Modificar	Nicolás	Metodologías	
insp-voltaje-test04	Prueba # 04 SOLE Voltaje		Inspiración	Modificar	Nicolás	Metodologías	
insp-hilando-vidas-OIM	SOLE + Hilando Vidas y Esperanza 2022		Inspiración	Modificar		Historias potentes	
insp-solecolombia-is-us	SOLE Colombia somos TODOS	SOLE Colombia is all of us	Inspiración	Modificar		De Voltaje a SOLE, Historias potentes	
insp-who-is-solecolombia	SOLE Colombia: Lo que somos		Inspiración	Publicado	Manuela	De Voltaje a SOLE	
insp-big-questions	Todo comienza con una Gran Pregunta	It all starts with a Big Question	Inspiración	Modificar		De Voltaje a SOLE	
insp-sociotech-cacharreras	Trayectoria socio-técnica Comunidad de Cacharreras		Inspiración	Modificar		Metodologías	
